Model	Symbol	CNV
PD0041_F4	ARMC6	1
PD0042_F4	ARMC6	-
PD0043_F4	ARMC6	-
PD0044_F4	ARMC6	-
PD0046_F5	ARMC6	-1
PD0047_F5	ARMC6	-
PD0048_F4	ARMC6	-1
PD0049_F4	ARMC6	2
PD0050_F4	ARMC6	-
PD0051_F3	ARMC6	-1
PD0052_F4	ARMC6	-
PD0053_F4	ARMC6	-
PD0054_F4	ARMC6	-1
PD0055_F4	ARMC6	-
PD0056_F4	ARMC6	-
PD0057_F4	ARMC6	-
PD0060_F3	ARMC6	2
PD0062_F3	ARMC6	-
PD0063_F4	ARMC6	-1
PD0068_F4	ARMC6	-1
PD0069_F3	ARMC6	-
PD0070_F3	ARMC6	-
PD0072_F4	ARMC6	-
PD0073_F3	ARMC6	-
PD0074_F4	ARMC6	-
PD0075_F4	ARMC6	-
PD0076_F4	ARMC6	-
PD0077_F3	ARMC6	-
PD0081_F4	ARMC6	-
PD0082_F1	ARMC6	-
PD0084_F3	ARMC6	-
PD0085_F3	ARMC6	-
PD0086_F3	ARMC6	-
PD0087_F3	ARMC6	-
PD0090_F3	ARMC6	-
PD0092_F3	ARMC6	-1
PD0093_F4	ARMC6	-1
PD0097_F2	ARMC6	-
PD0099_F3	ARMC6	-
PD0100_F3	ARMC6	-
PD0101_F3	ARMC6	-
PD0105_F3	ARMC6	-
PD0041_F4	ARMC9	1
PD0042_F4	ARMC9	1
PD0043_F4	ARMC9	-
PD0044_F4	ARMC9	-1
PD0046_F5	ARMC9	-
PD0047_F5	ARMC9	-
PD0048_F4	ARMC9	-
PD0049_F4	ARMC9	-
PD0050_F4	ARMC9	-
PD0051_F3	ARMC9	-
PD0052_F4	ARMC9	-
PD0053_F4	ARMC9	-
PD0054_F4	ARMC9	-
PD0055_F4	ARMC9	-
PD0056_F4	ARMC9	-1
PD0057_F4	ARMC9	-1
PD0060_F3	ARMC9	-
PD0062_F3	ARMC9	-
PD0063_F4	ARMC9	1
PD0068_F4	ARMC9	-
PD0069_F3	ARMC9	-
PD0070_F3	ARMC9	-
PD0072_F4	ARMC9	-
PD0073_F3	ARMC9	-
PD0074_F4	ARMC9	-
PD0075_F4	ARMC9	-
PD0076_F4	ARMC9	-1
PD0077_F3	ARMC9	-
PD0081_F4	ARMC9	1
PD0082_F1	ARMC9	-
PD0084_F3	ARMC9	1
PD0085_F3	ARMC9	-
PD0086_F3	ARMC9	-
PD0087_F3	ARMC9	1
PD0090_F3	ARMC9	-
PD0092_F3	ARMC9	-1
PD0093_F4	ARMC9	-
PD0097_F2	ARMC9	1
PD0099_F3	ARMC9	-
PD0100_F3	ARMC9	-
PD0101_F3	ARMC9	1
PD0105_F3	ARMC9	-
PD0041_F4	ASTN2	-
PD0042_F4	ASTN2	-
PD0043_F4	ASTN2	-1
PD0044_F4	ASTN2	-
PD0046_F5	ASTN2	-
PD0047_F5	ASTN2	1
PD0048_F4	ASTN2	-
PD0049_F4	ASTN2	1
PD0050_F4	ASTN2	-
PD0051_F3	ASTN2	-
PD0052_F4	ASTN2	-
PD0053_F4	ASTN2	-
PD0054_F4	ASTN2	1
PD0055_F4	ASTN2	-
PD0056_F4	ASTN2	1
PD0057_F4	ASTN2	-
PD0060_F3	ASTN2	-
PD0062_F3	ASTN2	-
PD0063_F4	ASTN2	-
PD0068_F4	ASTN2	-
PD0069_F3	ASTN2	-
PD0070_F3	ASTN2	-
PD0072_F4	ASTN2	-
PD0073_F3	ASTN2	-
PD0074_F4	ASTN2	-
PD0075_F4	ASTN2	-
PD0076_F4	ASTN2	-
PD0077_F3	ASTN2	-
PD0081_F4	ASTN2	1
PD0082_F1	ASTN2	1
PD0084_F3	ASTN2	-1
PD0085_F3	ASTN2	1
PD0086_F3	ASTN2	1
PD0087_F3	ASTN2	-
PD0090_F3	ASTN2	-
PD0092_F3	ASTN2	-
PD0093_F4	ASTN2	1
PD0097_F2	ASTN2	-
PD0099_F3	ASTN2	-
PD0100_F3	ASTN2	-
PD0101_F3	ASTN2	-
PD0105_F3	ASTN2	-
PD0041_F4	CRNKL1	1
PD0042_F4	CRNKL1	-1
PD0043_F4	CRNKL1	-
PD0044_F4	CRNKL1	-
PD0046_F5	CRNKL1	-
PD0047_F5	CRNKL1	-1
PD0048_F4	CRNKL1	1
PD0049_F4	CRNKL1	1
PD0050_F4	CRNKL1	-
PD0051_F3	CRNKL1	-
PD0052_F4	CRNKL1	-
PD0053_F4	CRNKL1	-
PD0054_F4	CRNKL1	1
PD0055_F4	CRNKL1	-
PD0056_F4	CRNKL1	-
PD0057_F4	CRNKL1	1
PD0060_F3	CRNKL1	-
PD0062_F3	CRNKL1	1
PD0063_F4	CRNKL1	-
PD0068_F4	CRNKL1	-1
PD0069_F3	CRNKL1	-
PD0070_F3	CRNKL1	-
PD0072_F4	CRNKL1	-
PD0073_F3	CRNKL1	-
PD0074_F4	CRNKL1	-
PD0075_F4	CRNKL1	-
PD0076_F4	CRNKL1	1
PD0077_F3	CRNKL1	-
PD0081_F4	CRNKL1	1
PD0082_F1	CRNKL1	-1
PD0084_F3	CRNKL1	2
PD0085_F3	CRNKL1	-
PD0086_F3	CRNKL1	-
PD0087_F3	CRNKL1	-
PD0090_F3	CRNKL1	-
PD0092_F3	CRNKL1	1
PD0093_F4	CRNKL1	-
PD0097_F2	CRNKL1	-
PD0099_F3	CRNKL1	-
PD0100_F3	CRNKL1	1
PD0101_F3	CRNKL1	-
PD0105_F3	CRNKL1	-
PD0041_F4	DDX19B	-
PD0042_F4	DDX19B	-
PD0043_F4	DDX19B	1
PD0044_F4	DDX19B	-
PD0046_F5	DDX19B	-1
PD0047_F5	DDX19B	-
PD0048_F4	DDX19B	-
PD0049_F4	DDX19B	-
PD0050_F4	DDX19B	-1
PD0051_F3	DDX19B	-1
PD0052_F4	DDX19B	-
PD0053_F4	DDX19B	-1
PD0054_F4	DDX19B	-1
PD0055_F4	DDX19B	-1
PD0056_F4	DDX19B	-
PD0057_F4	DDX19B	-
PD0060_F3	DDX19B	-
PD0062_F3	DDX19B	-
PD0063_F4	DDX19B	-1
PD0068_F4	DDX19B	-1
PD0069_F3	DDX19B	-
PD0070_F3	DDX19B	-1
PD0072_F4	DDX19B	-
PD0073_F3	DDX19B	-
PD0074_F4	DDX19B	-
PD0075_F4	DDX19B	-1
PD0076_F4	DDX19B	-1
PD0077_F3	DDX19B	-
PD0081_F4	DDX19B	-1
PD0082_F1	DDX19B	-
PD0084_F3	DDX19B	-
PD0085_F3	DDX19B	-1
PD0086_F3	DDX19B	-1
PD0087_F3	DDX19B	-1
PD0090_F3	DDX19B	-
PD0092_F3	DDX19B	-
PD0093_F4	DDX19B	-1
PD0097_F2	DDX19B	-
PD0099_F3	DDX19B	-
PD0100_F3	DDX19B	-1
PD0101_F3	DDX19B	-
PD0105_F3	DDX19B	-1
PD0041_F4	EVPL	-
PD0042_F4	EVPL	-
PD0043_F4	EVPL	-
PD0044_F4	EVPL	-
PD0046_F5	EVPL	-
PD0047_F5	EVPL	-
PD0048_F4	EVPL	-
PD0049_F4	EVPL	1
PD0050_F4	EVPL	-
PD0051_F3	EVPL	-
PD0052_F4	EVPL	2
PD0053_F4	EVPL	-
PD0054_F4	EVPL	-
PD0055_F4	EVPL	-
PD0056_F4	EVPL	-
PD0057_F4	EVPL	-
PD0060_F3	EVPL	-
PD0062_F3	EVPL	-
PD0063_F4	EVPL	-
PD0068_F4	EVPL	-
PD0069_F3	EVPL	-
PD0070_F3	EVPL	1
PD0072_F4	EVPL	-
PD0073_F3	EVPL	1
PD0074_F4	EVPL	1
PD0075_F4	EVPL	-
PD0076_F4	EVPL	2
PD0077_F3	EVPL	-
PD0081_F4	EVPL	-
PD0082_F1	EVPL	1
PD0084_F3	EVPL	1
PD0085_F3	EVPL	-
PD0086_F3	EVPL	-
PD0087_F3	EVPL	1
PD0090_F3	EVPL	1
PD0092_F3	EVPL	-
PD0093_F4	EVPL	1
PD0097_F2	EVPL	-
PD0099_F3	EVPL	1
PD0100_F3	EVPL	-
PD0101_F3	EVPL	1
PD0105_F3	EVPL	-
PD0041_F4	FGF5	-
PD0042_F4	FGF5	-1
PD0043_F4	FGF5	-1
PD0044_F4	FGF5	-1
PD0046_F5	FGF5	-1
PD0047_F5	FGF5	-
PD0048_F4	FGF5	-1
PD0049_F4	FGF5	-1
PD0050_F4	FGF5	1
PD0051_F3	FGF5	-
PD0052_F4	FGF5	-1
