Model	Symbol	Mutation
PD0082_F1	ALB	0
PD0082_F1	TERT	1
PD0082_F1	TP53	1
PD0097_F2	TP53	1
PD0097_F2	TRPA1	1
PD0042_F3	KIF19	1
PD0042_F3	TP53	2
PD0051_F3	TP53	1
PD0051_F3	TSC2	1
PD0058_F3	GRXCR1	1
PD0058_F3	TSC1	1
PD0059_F3	GALNT11	1
PD0059_F3	MAP2K3	1
PD0059_F3	SRCAP	1
PD0059_F3	TP53	1
PD0060_F3	TP53	1
PD0060_F3	TSC2	0
PD0060_F3	TSC2	1
PD0060_F3	TSC2	1
PD0062_F3	TP53	2
PD0065_F3	AXIN1	0
PD0065_F3	AXIN1	2
PD0065_F3	RB1	0
PD0069_F3	TP53	1
PD0070_F3	PTEN	0
PD0070_F3	RPS6KA3	2
PD0070_F3	SRCAP	1
PD0073_F3	ARID1A	0
PD0084_F3	CTNNB1	1
PD0084_F3	TP53	1
PD0085_F3	TP53	0
PD0085_F3	TSC2	2
PD0086_F3	TP53	1
PD0087_F3	TP53	1
PD0089_F3	APOB	0
PD0089_F3	TRPA1	0
PD0090_F3	BAP1	1
PD0090_F3	CTNNB1	1
PD0090_F3	IRX1	1
PD0090_F3	MEN1	1
PD0090_F3	NCOR1	2
PD0090_F3	TP53	2
PD0090_F3	TSC2	2
PD0091_F3	AXIN1	2
PD0091_F3	TP53	2
PD0091_F3	TSC2	2
PD0092_F3	APOB	1
PD0092_F3	ARID2	1
PD0092_F3	TP53	2
PD0096_F3	ARID1A	1
PD0096_F3	BAP1	1
PD0096_F3	TP53	1
PD0099_F3	RB1	0
PD0099_F3	RB1	2
PD0100_F3	CDKN1A	1
PD0100_F3	RB1	2
PD0100_F3	TP53	1
PD0105_F3	APOB	1
PD0105_F3	RB1	0
PD0105_F3	RPS6KA3	0
PD0105_F3	TP53	1
PD0105_F3	TP53	1
PD0041_F4	CTNNB1	1
PD0041_F4	PDX1	1
PD0043_F4	ALB	0
PD0043_F4	NFE2L2	1
PD0043_F4	TP53	1
PD0044_F4	CTNNB1	1
PD0044_F4	FCRL1	1
PD0044_F4	TP53	1
PD0048_F4	TP53	1
PD0048_F4	TSC1	1
PD0049_F4	APOB	1
PD0049_F4	TP53	1
PD0052_F4	APOB	1
PD0052_F4	RPS6KA3	2
PD0052_F4	TP53	1
PD0053_F4	AXIN1	1
PD0054_F4	ARID2	2
PD0054_F4	AXIN1	1
PD0054_F4	KIF19	1
PD0054_F4	TP53	1
PD0054_F4	TSC1	1
PD0055_F4	ALB	1
PD0055_F4	AXIN1	2
PD0055_F4	CDKN2A	1
PD0055_F4	NFE2L2	1
PD0055_F4	SRCAP	1
PD0055_F4	TP53	1
PD0056_F4	AXIN1	1
PD0056_F4	IDH1	1
PD0056_F4	TP53	1
PD0057_F4	APOB	0
PD0057_F4	CTNNB1	1
PD0057_F4	IL6ST	1
PD0057_F4	MEN1	1
PD0057_F4	TERT	1
PD0057_F4	TP53	1
PD0063_F4	AXIN1	1
PD0063_F4	CTNNB1	1
PD0063_F4	GRXCR1	1
PD0063_F4	TP53	1
PD0063_F4	TP53	1
PD0064_F4	APOB	1
PD0064_F4	TRPA1	1
PD0068_F4	TP53	2
PD0072_F4	ADH1B	1
PD0072_F4	TERT	2
PD0072_F4	TP53	2
PD0074_F4	APOB	0
PD0074_F4	TSC1	1
PD0075_F4	AXIN1	2
PD0075_F4	CDKN2A	0
PD0076_F4	ARID2	1
PD0076_F4	ARID2	1
PD0076_F4	FGF19	1
PD0076_F4	TP53	1
PD0076_F4	TP53	2
PD0079_F4	TP53	0
PD0079_F4	TSC2	1
PD0081_F4	APOB	1
PD0081_F4	TP53	1
PD0081_F4	TP53	2
PD0083_F4	APOB	1
PD0083_F4	ARID2	0
PD0083_F4	IL6ST	1
PD0083_F4	TP53	1
PD0093_F4	NCOR1	1
PD0093_F4	TP53	1
PD0093_F4	TSC2	1
PD0095_F4	APOB	0
PD0095_F4	CTNNB1	1
PD0098_F4	BAP1	1
PD0098_F4	KIF19	1
PD0098_F4	TP53	1
PD0102_F4	ALB	0
PD0102_F4	APOB	1
PD0102_F4	TP53	1
PD0103_F4	CTNNB1	1
PD0103_F4	TP53	1
PD0103_F4	TSC2	1
PD0045_F5	TP53	1
PD0046_F5	TP53	1
PD0047_F5	TP53	1
PD0082_F1	ACVR2A	-
PD0082_F1	ADH1B	-
PD0082_F1	APOB	-
PD0082_F1	ARID1A	-
PD0082_F1	ARID2	-
PD0082_F1	AXIN1	-
PD0082_F1	BAP1	-
PD0082_F1	BRD7	-
PD0082_F1	CCND1	-
PD0082_F1	CDKN1A	-
PD0082_F1	CDKN2A	-
PD0082_F1	CDKN2B	-
PD0082_F1	CTNNB1	-
PD0082_F1	CYP2E1	-
PD0082_F1	EEF1A1	-
PD0082_F1	FCRL1	-
PD0082_F1	FGF19	-
PD0082_F1	G6PC	-
PD0082_F1	GALNT11	-
PD0082_F1	GRXCR1	-
PD0082_F1	HIST1H1C	-
PD0082_F1	HNF1A	-
PD0082_F1	HNRNPA2B1	-
PD0082_F1	IDH1	-
PD0082_F1	IL6ST	-
PD0082_F1	IRX1	-
PD0082_F1	KIF19	-
PD0082_F1	LCE1E	-
PD0082_F1	MAP2K3	-
PD0082_F1	MEN1	-
PD0082_F1	NCOR1	-
PD0082_F1	NFE2L2	-
PD0082_F1	PDX1	-
PD0082_F1	PTEN	-
PD0082_F1	RB1	-
PD0082_F1	RPS6KA3	-
PD0082_F1	SOCS6	-
PD0082_F1	SRCAP	-
PD0082_F1	TMEM99	-
PD0082_F1	TRPA1	-
PD0082_F1	TSC1	-
PD0082_F1	TSC2	-
PD0097_F2	ACVR2A	-
PD0097_F2	ADH1B	-
PD0097_F2	ALB	-
PD0097_F2	APOB	-
PD0097_F2	ARID1A	-
PD0097_F2	ARID2	-
PD0097_F2	AXIN1	-
PD0097_F2	BAP1	-
PD0097_F2	BRD7	-
PD0097_F2	CCND1	-
PD0097_F2	CDKN1A	-
PD0097_F2	CDKN2A	-
PD0097_F2	CDKN2B	-
PD0097_F2	CTNNB1	-
PD0097_F2	CYP2E1	-
PD0097_F2	EEF1A1	-
PD0097_F2	FCRL1	-
PD0097_F2	FGF19	-
PD0097_F2	G6PC	-
PD0097_F2	GALNT11	-
PD0097_F2	GRXCR1	-
PD0097_F2	HIST1H1C	-
PD0097_F2	HNF1A	-
PD0097_F2	HNRNPA2B1	-
PD0097_F2	IDH1	-
PD0097_F2	IL6ST	-
PD0097_F2	IRX1	-
PD0097_F2	KIF19	-
PD0097_F2	LCE1E	-
PD0097_F2	MAP2K3	-
PD0097_F2	MEN1	-
PD0097_F2	NCOR1	-
PD0097_F2	NFE2L2	-
PD0097_F2	PDX1	-
PD0097_F2	PTEN	-
PD0097_F2	RB1	-
PD0097_F2	RPS6KA3	-
PD0097_F2	SOCS6	-
PD0097_F2	SRCAP	-
PD0097_F2	TERT	-
PD0097_F2	TMEM99	-
PD0097_F2	TSC1	-
PD0097_F2	TSC2	-
PD0042_F3	ACVR2A	-
PD0042_F3	ADH1B	-
PD0042_F3	ALB	-
PD0042_F3	APOB	-
PD0042_F3	ARID1A	-
PD0042_F3	ARID2	-
PD0042_F3	AXIN1	-
PD0042_F3	BAP1	-
PD0042_F3	BRD7	-
PD0042_F3	CCND1	-
PD0042_F3	CDKN1A	-
PD0042_F3	CDKN2A	-
PD0042_F3	CDKN2B	-
PD0042_F3	CTNNB1	-
PD0042_F3	CYP2E1	-
PD0042_F3	EEF1A1	-
PD0042_F3	FCRL1	-
PD0042_F3	FGF19	-
PD0042_F3	G6PC	-
PD0042_F3	GALNT11	-
PD0042_F3	GRXCR1	-
PD0042_F3	HIST1H1C	-
PD0042_F3	HNF1A	-
PD0042_F3	HNRNPA2B1	-
PD0042_F3	IDH1	-
PD0042_F3	IL6ST	-
PD0042_F3	IRX1	-
PD0042_F3	LCE1E	-
PD0042_F3	MAP2K3	-
PD0042_F3	MEN1	-
PD0042_F3	NCOR1	-
PD0042_F3	NFE2L2	-
PD0042_F3	PDX1	-
PD0042_F3	PTEN	-
PD0042_F3	RB1	-
PD0042_F3	RPS6KA3	-
PD0042_F3	SOCS6	-
PD0042_F3	SRCAP	-
PD0042_F3	TERT	-
PD0042_F3	TMEM99	-
PD0042_F3	TRPA1	-
PD0042_F3	TSC1	-
PD0042_F3	TSC2	-
PD0051_F3	ACVR2A	-
PD0051_F3	ADH1B	-
PD0051_F3	ALB	-
PD0051_F3	APOB	-
PD0051_F3	ARID1A	-
PD0051_F3	ARID2	-
PD0051_F3	AXIN1	-
PD0051_F3	BAP1	-
PD0051_F3	BRD7	-
PD0051_F3	CCND1	-
PD0051_F3	CDKN1A	-
PD0051_F3	CDKN2A	-
PD0051_F3	CDKN2B	-
PD0051_F3	CTNNB1	-
PD0051_F3	CYP2E1	-
PD0051_F3	EEF1A1	-
PD0051_F3	FCRL1	-
PD0051_F3	FGF19	-
PD0051_F3	G6PC	-
PD0051_F3	GALNT11	-
PD0051_F3	GRXCR1	-
PD0051_F3	HIST1H1C	-
PD0051_F3	HNF1A	-
PD0051_F3	HNRNPA2B1	-
PD0051_F3	IDH1	-
PD0051_F3	IL6ST	-
PD0051_F3	IRX1	-
PD0051_F3	KIF19	-
PD0051_F3	LCE1E	-
PD0051_F3	MAP2K3	-
PD0051_F3	MEN1	-
PD0051_F3	NCOR1	-
PD0051_F3	NFE2L2	-
PD0051_F3	PDX1	-
PD0051_F3	PTEN	-
PD0051_F3	RB1	-
PD0051_F3	RPS6KA3	-
PD0051_F3	SOCS6	-
PD0051_F3	SRCAP	-
PD0051_F3	TERT	-
PD0051_F3	TMEM99	-
PD0051_F3	TRPA1	-
PD0051_F3	TSC1	-
PD0058_F3	ACVR2A	-
PD0058_F3	ADH1B	-
PD0058_F3	ALB	-
PD0058_F3	APOB	-
PD0058_F3	ARID1A	-
PD0058_F3	ARID2	-
PD0058_F3	AXIN1	-
PD0058_F3	BAP1	-
PD0058_F3	BRD7	-
PD0058_F3	CCND1	-
PD0058_F3	CDKN1A	-
PD0058_F3	CDKN2A	-
PD0058_F3	CDKN2B	-
PD0058_F3	CTNNB1	-
PD0058_F3	CYP2E1	-
PD0058_F3	EEF1A1	-
PD0058_F3	FCRL1	-
PD0058_F3	FGF19	-
PD0058_F3	G6PC	-
PD0058_F3	GALNT11	-
PD0058_F3	HIST1H1C	-
PD0058_F3	HNF1A	-
PD0058_F3	HNRNPA2B1	-
PD0058_F3	IDH1	-
PD0058_F3	IL6ST	-
PD0058_F3	IRX1	-
